cleaned_tweet,sentiment,Unnamed: 2,Unnamed: 3,Unnamed: 4,vader_score
Well said!,negative,,,,0.3382
"Tesla If the chargers are going to give a discount to charge with dogecoin, I'll definitely buy a Tesla.",positive,,,,0.4019
She won't if she found Tesla spacex PayPal boring etc,neutral,,,,-0.3182
"Nikola Tesla loved a bird  “Yes, I loved that pigeon, I loved her as a man loves a woman, and she loved me.” Elon has an on again off again relationship with  Twitter",positive,,,,0.9652
BREAKING NEWS! Sell a brand new Tesla on Twitter!? LIMITED TIME ONLY!!,negative,,,,-0.586
"Looks like Tesla investors are losing faith. Can you imagine if you had bought it at $1,243.49 a year ago? Wonder what the short position is on it.  TSLA: $704.7815  Down -47.5085 (-6.32%). 52 wk high $1,243.49. Yikes.",negative,,,,0.4019
Tesla Parking Only - NEW Electric Vehicle EV Parking Poster [LZLIBXT],negative,,,,0.0
Will Tesla increase the protection for children?,neutral,,,,0.3182
"Musk asked Gates: ""Do you still have a $500 million short position in Tesla?"" Gates replied: ""Sadly, I haven't sold it yet.",neutral,,,,0.0
Can u please give me a free Tesla model x?,positive,,,,0.6808
"Enertopia Corporation Reports First Drilling Assays as High as 1,290 PPM Lithium  Full Story:     ?lang=e $ENRT",negative,,,,0.0
Tesla stock: CEO Elon Musk pulls out of $44 billion deal with Twitter,positive,,,,0.0
It has been said by many in the legal business that Skadden is a firm without a moral compass. They will do anything if they think they can get away with it. But will they prevail in  V ?,negative,,,,0.0644
"Nah, you can't be a bigger conman than Trump cause Trump has been conning far longer and straight up has people do work for him and then doesn't pay them at all. 🤣  Maybe Musk is a bigger conman cause he just ran a $44 billion scam, and Tesla was a trillion dollar scam.",negative,,,,-0.7652
"How do you reconcile having many successful business and influence of the economy but you have a messed up home life, kids don't want anything to do with you and one of the kids has to spell his name with a ruler?    . I don't believe your BS!",neutral,,,,-0.3237
"Starting my day at the Tesla service center, waiting for them to fix my flat.",neutral,,,,0.0
I love Tesla's and Honda's ❤️,positive,,,,0.6369
Pump Tesla please $TSLA,neutral,,,,0.3182
No $ changed hands. It's an unfunded hostile takeover bid. But he will be paying a penalty &amp; perhaps more for his little stock market and social media platform manipulation scheme.  Elon simply does not care about anyone but himself. Don't let the man baby distract you.,negative,,,,-0.9376
I couldn't agree more. I also think it will have a negative effect on the Tesla voting rights that give him control.,negative,,,,-0.7013
With daddys limitless $.  Too bad starving people can't eat a Tesla. Or travel to other worlds to find food,negative,,, ,-0.743
So are good parents,neutral,,,,0.4902
"You promised you'd be Tesla, but you're just another Edison.",negative,,,,0.1901
Look at musk he’s an idiot and he’s trying to blame Twitter for it but he died in Tesla and everything else and he also was firing all those at Tesla and Twitter and he is loyal to the dark side to side with the republican party mask is a loser.,negative,,,,-0.8294
"""If you want to find the secrets of the universe, think in terms of ,  and .""",neutral,,,,0.0772
